BCRepDisp(cm), BCRepAcc(g)
1.986462250862289780e+00,3.917979513012938009e-01
2.019105101668938307e+00,4.082184853167759031e-01
2.028298075871465933e+00,4.149511492245597788e-01
2.108442391957270345e+00,7.477474792078339094e-01
2.284535178641690312e+00,8.011112100790238610e-01
2.395299622011052065e+00,8.350891973877031527e-01
2.432374168049451058e+00,8.486045747553333518e-01
2.670837082087216263e+00,6.851022032239616477e-01
2.906516308917694857e+00,7.585030644858365978e-01
3.111680411956293746e+00,8.188701341617264928e-01
3.284937268279762179e+00,8.656254164932961626e-01
3.423311273950621292e+00,8.977744168221697407e-01
3.521708737251487253e+00,9.144244865358532870e-01
3.573423281250320382e+00,9.143685792282051361e-01
4.162515496390943426e+00,5.370509130853409197e-01
4.822663018177903993e+00,6.677491609490306956e-01
5.499502932151844270e+00,7.907642982274148968e-01
6.175176227783222949e+00,9.050540555687544009e-01
6.834056914976895492e+00,1.008040431865205200e+00
7.461778632537332534e+00,1.097955331998058393e+00
8.044729521044510889e+00,1.173416617536813700e+00
8.570090327121890894e+00,1.231738079196736280e+00
9.026011605521700787e+00,1.270767382202157236e+00
9.401916182991529425e+00,1.290225502189443763e+00
9.688907266040542865e+00,1.290596423601963139e+00
9.879864304354804005e+00,1.273487082700275108e+00
9.969581851470666223e+00,1.240711035457863209e+00
