TentRepDisp(cm), TentRepAcc(g)
-2.288035065598993320e-02,-8.833450917433367843e-04
-2.230006219264596759e-02,-7.032212869448237723e-04
-2.160892641234864880e-02,-4.322157419275109722e-04
-2.085564439062400147e-02,-1.037859894374098353e-04
-2.009509771151077664e-02,2.561202783963669209e-04
-1.938319878255949716e-02,6.178282982215914723e-04
-1.877124469717407484e-02,9.482197254212342951e-04
-1.830113527257272096e-02,1.218867342014776957e-03
-1.799946132464904508e-02,1.394880132208930904e-03
-1.787315806983829844e-02,1.450464003917561855e-03
-1.791115816867862656e-02,1.394336258388954690e-03
-1.808872056706667397e-02,1.250572801753367614e-03
-1.837191138604860052e-02,1.044804171550227237e-03
-1.872263784096799347e-02,8.057758570092337638e-04
-1.910177478145751173e-02,5.501233293795783179e-04
-1.947113797207275163e-02,2.879862259158008815e-04
-1.979720470108070965e-02,4.009049220715795673e-05
-2.005413335178460668e-02,-1.760629895647438910e-04
-2.022403908404423606e-02,-3.561565629557785070e-04
-2.029631256527599653e-02,-4.999803104969989011e-04
-2.026570469752619549e-02,-6.152538755852838149e-04
-2.013030482511308367e-02,-7.099173782371165538e-04
-1.989240748695807193e-02,-7.743989720796439196e-04
-1.956015343104715656e-02,-7.950529027821477343e-04
-1.914794082308839823e-02,-7.650816280590046811e-04
-1.867644092179045548e-02,-6.810814118889102877e-04
-1.817109605980810755e-02,-5.522779129346346797e-04
-1.765960515536556599e-02,-3.956779660606937212e-04
-1.717081317200255461e-02,-2.201439193217486195e-04
-1.673327747039866226e-02,-3.696403191784782081e-05
-1.637180127929635867e-02,1.311517727344013468e-04
-1.610393105199049713e-02,2.617506424283466780e-04
-1.593654820834556132e-02,3.320288855085038165e-04
-1.586348258848664650e-02,3.255382077546541911e-04
-1.586716861313402713e-02,2.514202436336700165e-04
-1.592229386308022243e-02,1.312639387267871193e-04
-1.599866298492969366e-02,-1.775613976091216422e-05
-1.606453241323544875e-02,-1.755303415878555168e-04
-1.609016513656309766e-02,-3.214607465685953309e-04
-1.605079690485769831e-02,-4.388243132057688140e-04
-1.593045033109320371e-02,-5.053454209099546030e-04
-1.572477360410702574e-02,-5.045757599826457707e-04
-1.544001785862495792e-02,-4.434190776614657095e-04
-1.509032563824817819e-02,-3.388021664920743315e-04
-1.469488713969017459e-02,-2.084597048024422971e-04
-1.427477008898130235e-02,-7.196275989823508880e-05
-1.385111184978663618e-02,5.996913967647478756e-05
-1.344409104675027902e-02,1.816089365776494332e-04
-1.307076395097046644e-02,2.801372331756306236e-04
-1.274333223191107152e-02,3.455241459088498291e-04
-1.246905326279411884e-02,3.779239723908349056e-04
-1.225070259319175139e-02,3.808048605377279848e-04
-1.208788234268867723e-02,3.632463806341239493e-04
-1.197837590059587856e-02,3.344862478738282294e-04
-1.191759287659105611e-02,2.909552428971448569e-04
-1.189752015125567983e-02,2.258837020784515469e-04
-1.190641533361135040e-02,1.374085180580154821e-04
-1.192877759267077335e-02,2.552336814014628970e-05
-1.194646805226931216e-02,-1.015801889164812810e-04
-1.194052908017798932e-02,-2.308740396708632188e-04
