BCRepDisp(cm), BCRepAcc(g)
8.432802888345349024e-02,9.283926821600076238e-04
8.503189292007819200e-02,8.802328672941322346e-04
8.562088715508520131e-02,7.444726862119373538e-04
8.612858786013834200e-02,5.235754492062510545e-04
8.659824521027717492e-02,2.426886807628546349e-04
8.707682740683501954e-02,-5.916743965640001578e-05
8.760799709314755213e-02,-3.389460472473144223e-04
8.822510771350582093e-02,-5.540621188839624841e-04
8.894786185262511247e-02,-6.831699385199949733e-04
8.978232768201578617e-02,-7.258926543323129506e-04
9.072074777059024875e-02,-6.794269277242822799e-04
9.174245536607461560e-02,-5.467463130014330128e-04
9.281697241948212718e-02,-3.460433643650709726e-04
9.390784967572321507e-02,-1.009884462584787000e-04
9.497867686272898347e-02,1.522409464410863023e-04
9.599972302704559701e-02,3.731251189134927979e-04
9.695019379387335989e-02,5.470085487626504244e-04
9.781739546650325412e-02,6.774847540034460583e-04
9.859635758816448492e-02,7.636488541313288334e-04
9.928863940534903010e-02,8.079218820643380931e-04
9.990091140267658154e-02,8.134161800029580339e-04
1.004442569776572980e-01,7.781984631873841915e-04
1.009309851488492671e-01,7.153153426378140679e-04
1.013706031399890101e-01,6.439878045086292564e-04
1.017694643593270165e-01,5.633160816009708926e-04
1.021323096412879994e-01,4.636429218190510002e-04
1.024635952833770070e-01,3.392368114102694079e-04
1.027694083212920551e-01,1.844414341648005246e-04
1.030579782080174450e-01,6.997967975541316034e-06
1.033386032876354860e-01,-1.720787669423355279e-04
1.036225238452268688e-01,-3.422870588981366232e-04
1.039243116285800822e-01,-4.971956505724080917e-04
1.042609942062146383e-01,-6.217854454718487779e-04
1.046503981805775862e-01,-7.022272921758438867e-04
1.051089007744706039e-01,-7.233854586126037311e-04
1.056482936693117491e-01,-6.694828441560025847e-04
1.062740496368019399e-01,-5.413274766265401862e-04
1.069847208931703625e-01,-3.518324816458090129e-04
1.077703298925789255e-01,-1.113617789402767885e-04
1.086109237958033380e-01,1.685365264660868174e-04
1.094764199959811501e-01,4.773559136093392767e-04
1.103271439188048125e-01,8.084244398753488974e-04
1.111158780781928562e-01,1.145321584434862844e-03
1.117916842624249313e-01,1.463737304913266188e-03
1.123044157431203199e-01,1.740917610564117089e-03
1.126099615435102452e-01,1.951948782239803105e-03
1.126760996010470750e-01,2.074075713323553314e-03
1.134936005759603767e-01,-4.339533351049758292e-04
1.151652319150196363e-01,-4.433162574231160058e-03
1.165557555495583125e-01,-6.488823842780246098e-03
1.178558490944981302e-01,-5.951560659964313937e-03
1.194886092061112071e-01,-2.970799165373381318e-03
1.219027287801468795e-01,1.738896019594975140e-03
1.253492279302587387e-01,7.423032247067242947e-03
1.297690679270391556e-01,1.349249922166237056e-02
1.348169457061089704e-01,1.946853576269051700e-02
1.399717480772279254e-01,2.496340750043131787e-02
1.446765388022124565e-01,2.966213192982604732e-02
1.484694850993492354e-01,3.329091938408031831e-02
1.510768356204963414e-01,3.571331433046252141e-02
1.524711262669347922e-01,3.692939824654205977e-02
1.529205620048179060e-01,3.688925057819152781e-02
1.530318314615198017e-01,3.554938259737041445e-02
1.537947551722661232e-01,3.296700281874630212e-02
1.566616176268635918e-01,2.908913650661681949e-02
1.591475104761522763e-01,4.021457393783796352e-02
1.612584460316814627e-01,3.923001533086357961e-02
1.629987019807634108e-01,3.713531035938355540e-02
1.648349071003371025e-01,3.416385058444902645e-02
1.671163214380535222e-01,3.063263928192729371e-02
1.700243981957124950e-01,2.687279229976926795e-02
1.735652136244930088e-01,2.320874881921269547e-02
1.775961944736908771e-01,2.006643236997495555e-02
1.818858954333136269e-01,1.783665257879063493e-02
1.861883566211123830e-01,1.664617473446656365e-02
1.903031929932789967e-01,1.637594904299269002e-02
1.941062990552513967e-01,1.662840624781937449e-02
1.975504511098585825e-01,1.687135914383104326e-02
2.006547982529048035e-01,1.695802934734292472e-02
2.035031910151852974e-01,1.710331673263048441e-02
2.057286101637304521e-01,6.720232309588039521e-02
